state,interest,pay,downpayment,finance_amt,mean_price,month_payment,total_interest,total,month,balance_remain
FL,0.0404,75000,100000,163162.7,263162.7,6250,6591.774,169754.5,0,169754.5
FL,0.0404,75000,100000,163162.7,263162.7,6250,6591.774,169754.5,1,163504.5
FL,0.0404,75000,100000,163162.7,263162.7,6250,6591.774,169754.5,2,157254.5
FL,0.0404,75000,100000,163162.7,263162.7,6250,6591.774,169754.5,3,151004.5
FL,0.0404,75000,100000,163162.7,263162.7,6250,6591.774,169754.5,4,144754.5
FL,0.0404,75000,100000,163162.7,263162.7,6250,6591.774,169754.5,5,138504.5
FL,0.0404,75000,100000,163162.7,263162.7,6250,6591.774,169754.5,6,132254.5
FL,0.0404,75000,100000,163162.7,263162.7,6250,6591.774,169754.5,7,126004.5
FL,0.0404,75000,100000,163162.7,263162.7,6250,6591.774,169754.5,8,119754.5
FL,0.0404,75000,100000,163162.7,263162.7,6250,6591.774,169754.5,9,113504.5
FL,0.0404,75000,100000,163162.7,263162.7,6250,6591.774,169754.5,10,107254.5
FL,0.0404,75000,100000,163162.7,263162.7,6250,6591.774,169754.5,11,101004.5
FL,0.0404,75000,100000,163162.7,263162.7,6250,6591.774,169754.5,12,94754.5
FL,0.0404,75000,100000,163162.7,263162.7,6250,6591.774,169754.5,13,88504.5
FL,0.0404,75000,100000,163162.7,263162.7,6250,6591.774,169754.5,14,82254.5
FL,0.0404,75000,100000,163162.7,263162.7,6250,6591.774,169754.5,15,76004.5
FL,0.0404,75000,100000,163162.7,263162.7,6250,6591.774,169754.5,16,69754.5
FL,0.0404,75000,100000,163162.7,263162.7,6250,6591.774,169754.5,17,63504.5
FL,0.0404,75000,100000,163162.7,263162.7,6250,6591.774,169754.5,18,57254.5
FL,0.0404,75000,100000,163162.7,263162.7,6250,6591.774,169754.5,19,51004.5
FL,0.0404,75000,100000,163162.7,263162.7,6250,6591.774,169754.5,20,44754.5
FL,0.0404,75000,100000,163162.7,263162.7,6250,6591.774,169754.5,21,38504.5
FL,0.0404,75000,100000,163162.7,263162.7,6250,6591.774,169754.5,22,32254.5
FL,0.0404,75000,100000,163162.7,263162.7,6250,6591.774,169754.5,23,26004.5
FL,0.0404,75000,100000,163162.7,263162.7,6250,6591.774,169754.5,24,19754.5
FL,0.0404,75000,100000,163162.7,263162.7,6250,6591.774,169754.5,25,13504.5
FL,0.0404,75000,100000,163162.7,263162.7,6250,6591.774,169754.5,26,7254.5
FL,0.0404,75000,100000,163162.7,263162.7,6250,6591.774,169754.5,27,1004.5
FL,0.0404,75000,100000,163162.7,263162.7,6250,6591.774,169754.5,28,-5245.5
FL,0.0404,75000,100000,163162.7,263162.7,6250,6591.774,169754.5,29,-11495.5
FL,0.0404,75000,100000,163162.7,263162.7,6250,6591.774,169754.5,30,-17745.5
FL,0.0404,75000,100000,163162.7,263162.7,6250,6591.774,169754.5,31,-23995.5
FL,0.0404,75000,100000,163162.7,263162.7,6250,6591.774,169754.5,32,-30245.5
FL,0.0404,75000,100000,163162.7,263162.7,6250,6591.774,169754.5,33,-36495.5
FL,0.0404,75000,100000,163162.7,263162.7,6250,6591.774,169754.5,34,-42745.5
FL,0.0404,75000,100000,163162.7,263162.7,6250,6591.774,169754.5,35,-48995.5
FL,0.0404,75000,100000,163162.7,263162.7,6250,6591.774,169754.5,36,-55245.5
FL,0.0404,75000,100000,163162.7,263162.7,6250,6591.774,169754.5,37,-61495.5
FL,0.0404,75000,100000,163162.7,263162.7,6250,6591.774,169754.5,38,-67745.5
FL,0.0404,75000,100000,163162.7,263162.7,6250,6591.774,169754.5,39,-73995.5
NY,0.0404,120000,100000,317295.5,417295.5,10000,12818.738,330114.24,40,-83995.5
NY,0.0404,120000,100000,317295.5,417295.5,10000,12818.738,330114.24,0,330114.24
NY,0.0404,120000,100000,317295.5,417295.5,10000,12818.738,330114.24,1,320114.24
NY,0.0404,120000,100000,317295.5,417295.5,10000,12818.738,330114.24,2,310114.24
NY,0.0404,120000,100000,317295.5,417295.5,10000,12818.738,330114.24,3,300114.24
NY,0.0404,120000,100000,317295.5,417295.5,10000,12818.738,330114.24,4,290114.24
NY,0.0404,120000,100000,317295.5,417295.5,10000,12818.738,330114.24,5,280114.24
NY,0.0404,120000,100000,317295.5,417295.5,10000,12818.738,330114.24,6,270114.24
NY,0.0404,120000,100000,317295.5,417295.5,10000,12818.738,330114.24,7,260114.24
NY,0.0404,120000,100000,317295.5,417295.5,10000,12818.738,330114.24,8,250114.24
NY,0.0404,120000,100000,317295.5,417295.5,10000,12818.738,330114.24,9,240114.24
NY,0.0404,120000,100000,317295.5,417295.5,10000,12818.738,330114.24,10,230114.24
NY,0.0404,120000,100000,317295.5,417295.5,10000,12818.738,330114.24,11,220114.24
NY,0.0404,120000,100000,317295.5,417295.5,10000,12818.738,330114.24,12,210114.24
NY,0.0404,120000,100000,317295.5,417295.5,10000,12818.738,330114.24,13,200114.24
NY,0.0404,120000,100000,317295.5,417295.5,10000,12818.738,330114.24,14,190114.24
NY,0.0404,120000,100000,317295.5,417295.5,10000,12818.738,330114.24,15,180114.24
NY,0.0404,120000,100000,317295.5,417295.5,10000,12818.738,330114.24,16,170114.24
NY,0.0404,120000,100000,317295.5,417295.5,10000,12818.738,330114.24,17,160114.24
NY,0.0404,120000,100000,317295.5,417295.5,10000,12818.738,330114.24,18,150114.24
NY,0.0404,120000,100000,317295.5,417295.5,10000,12818.738,330114.24,19,140114.24
NY,0.0404,120000,100000,317295.5,417295.5,10000,12818.738,330114.24,20,130114.24
NY,0.0404,120000,100000,317295.5,417295.5,10000,12818.738,330114.24,21,120114.24
NY,0.0404,120000,100000,317295.5,417295.5,10000,12818.738,330114.24,22,110114.24
NY,0.0404,120000,100000,317295.5,417295.5,10000,12818.738,330114.24,23,100114.24
NY,0.0404,120000,100000,317295.5,417295.5,10000,12818.738,330114.24,24,90114.24
NY,0.0404,120000,100000,317295.5,417295.5,10000,12818.738,330114.24,25,80114.24
NY,0.0404,120000,100000,317295.5,417295.5,10000,12818.738,330114.24,26,70114.24
NY,0.0404,120000,100000,317295.5,417295.5,10000,12818.738,330114.24,27,60114.24
NY,0.0404,120000,100000,317295.5,417295.5,10000,12818.738,330114.24,28,50114.24
NY,0.0404,120000,100000,317295.5,417295.5,10000,12818.738,330114.24,29,40114.24
NY,0.0404,120000,100000,317295.5,417295.5,10000,12818.738,330114.24,30,30114.24
